source_id,relation,target_id,weight,split
CAU_00048,CAUSES,SYM_03418,2,valid
CAU_00060,CAUSES,SYM_03465,2,test
CAU_00060,CAUSES,SYM_03524,3,train
CAU_00060,CAUSES,SYM_03418,4,valid
CAU_00060,CAUSES,SYM_03407,2,valid
CAU_00190,CAUSES,SYM_03515,2,train
CAU_00190,CAUSES,SYM_03413,2,train
CAU_00190,CAUSES,SYM_04386,2,train
CAU_00087,CAUSES,SYM_03453,2,test
CAU_00087,CAUSES,SYM_03620,2,train
CAU_00020,CAUSES,SYM_03513,2,train
CAU_00025,CAUSES,SYM_03513,2,train
CAU_00140,CAUSES,SYM_03524,3,train
CAU_00140,CAUSES,SYM_03418,2,train
CAU_00076,CAUSES,SYM_03418,3,train
CAU_00139,CAUSES,SYM_03426,2,train
CAU_00139,CAUSES,SYM_05071,2,train
CAU_00139,CAUSES,SYM_04395,2,train
CAU_00139,CAUSES,SYM_04909,2,train
CAU_00139,CAUSES,SYM_03480,3,valid
CAU_00139,CAUSES,SYM_04344,2,train
CAU_00189,CAUSES,SYM_03410,2,test
CAU_00036,CAUSES,SYM_03441,2,train
CAU_00102,CAUSES,SYM_03410,2,train
CAU_00010,CAUSES,SYM_03425,16,train
CAU_00010,CAUSES,SYM_03430,2,train
CAU_00010,CAUSES,SYM_03413,25,train
CAU_00073,CAUSES,SYM_04394,2,train
CAU_00117,CAUSES,SYM_03430,2,train
CAU_00117,CAUSES,SYM_03702,2,test
CAU_00117,CAUSES,SYM_03514,2,train
CAU_00117,CAUSES,SYM_03446,2,train
CAU_00117,CAUSES,SYM_03411,2,train
CAU_00117,CAUSES,SYM_03438,2,train
CAU_00117,CAUSES,SYM_03431,2,train
CAU_00117,CAUSES,SYM_03578,2,train
CAU_00009,CAUSES,SYM_03430,2,valid
CAU_00009,CAUSES,SYM_03702,2,train
CAU_00009,CAUSES,SYM_03514,3,train
CAU_00009,CAUSES,SYM_03446,3,train
CAU_00009,CAUSES,SYM_03411,4,train
CAU_00009,CAUSES,SYM_03438,2,train
CAU_00009,CAUSES,SYM_03431,7,train
CAU_00009,CAUSES,SYM_03578,2,valid
CAU_00105,CAUSES,SYM_03407,2,train
CAU_00259,CAUSES,SYM_03822,2,train
CAU_00048,CAUSES,SYM_03646,2,train
CAU_00103,CAUSES,SYM_03527,2,train
CAU_00103,CAUSES,SYM_03524,3,test
CAU_00073,CAUSES,SYM_03540,2,train
CAU_00118,CAUSES,SYM_03524,4,train
CAU_00009,CAUSES,SYM_03413,7,test
CAU_00009,CAUSES,SYM_04089,3,train
CAU_00009,CAUSES,SYM_03461,5,valid
CAU_00009,CAUSES,SYM_03407,5,valid
CAU_00018,CAUSES,SYM_03407,2,valid
CAU_00057,CAUSES,SYM_03415,7,test
CAU_00057,CAUSES,SYM_03429,2,train
CAU_00057,CAUSES,SYM_03448,3,train
CAU_00064,CAUSES,SYM_03415,2,train
CAU_00064,CAUSES,SYM_03429,2,train
CAU_00009,CAUSES,SYM_03415,3,train
CAU_00009,CAUSES,SYM_03429,2,train
CAU_00009,CAUSES,SYM_03448,5,train
CAU_00009,CAUSES,SYM_04307,2,train
CAU_00102,CAUSES,SYM_03430,2,train
CAU_00102,CAUSES,SYM_03441,2,train
CAU_00102,CAUSES,SYM_03425,2,valid
CAU_00088,CAUSES,SYM_03433,2,train
CAU_00055,CAUSES,SYM_03441,2,valid
CAU_00055,CAUSES,SYM_03464,4,train
CAU_00083,CAUSES,SYM_03413,2,train
CAU_00018,CAUSES,SYM_03417,3,train
CAU_00010,CAUSES,SYM_03417,28,test
CAU_00010,CAUSES,SYM_03538,2,valid
CAU_00069,CAUSES,SYM_03902,2,train
CAU_00069,CAUSES,SYM_03450,3,train
CAU_00156,CAUSES,SYM_03426,2,valid
CAU_00156,CAUSES,SYM_03619,2,train
CAU_00087,CAUSES,SYM_03426,2,train
CAU_00087,CAUSES,SYM_03450,2,test
CAU_00087,CAUSES,SYM_03419,2,test
CAU_00087,CAUSES,SYM_03619,2,test
CAU_00028,CAUSES,SYM_03474,3,train
CAU_00028,CAUSES,SYM_03425,2,train
CAU_00028,CAUSES,SYM_03411,3,test
CAU_00026,CAUSES,SYM_03411,4,train
CAU_00010,CAUSES,SYM_03474,4,train
CAU_00010,CAUSES,SYM_03870,3,train
CAU_00009,CAUSES,SYM_03696,2,train
CAU_00009,CAUSES,SYM_03460,4,train
CAU_00009,CAUSES,SYM_03546,2,train
CAU_00028,CAUSES,SYM_03417,3,train
CAU_00028,CAUSES,SYM_03413,6,train
CAU_00015,CAUSES,SYM_03553,2,train
CAU_00015,CAUSES,SYM_03413,6,train
CAU_00010,CAUSES,SYM_03539,2,train
CAU_00010,CAUSES,SYM_03506,3,train
CAU_00010,CAUSES,SYM_03427,21,train
CAU_00010,CAUSES,SYM_03508,3,train
CAU_00066,CAUSES,SYM_03413,2,train
CAU_00066,CAUSES,SYM_03427,2,train
CAU_00066,CAUSES,SYM_03508,2,train
CAU_00018,CAUSES,SYM_03427,2,train
CAU_00018,CAUSES,SYM_03508,2,train
CAU_00009,CAUSES,SYM_03809,2,train
CAU_00009,CAUSES,SYM_03427,2,valid
CAU_00059,CAUSES,SYM_03430,2,train
CAU_00059,CAUSES,SYM_03451,2,test
CAU_00059,CAUSES,SYM_03408,4,train
CAU_00059,CAUSES,SYM_03425,2,test
CAU_00059,CAUSES,SYM_03437,2,train
CAU_00073,CAUSES,SYM_03430,2,train
CAU_00073,CAUSES,SYM_03451,2,valid
CAU_00073,CAUSES,SYM_03527,4,train
CAU_00073,CAUSES,SYM_03408,3,test
CAU_00073,CAUSES,SYM_03425,2,train
CAU_00073,CAUSES,SYM_03939,2,train
CAU_00073,CAUSES,SYM_03437,2,train
CAU_00060,CAUSES,SYM_03430,2,train
CAU_00060,CAUSES,SYM_03527,3,train
CAU_00060,CAUSES,SYM_03408,4,train
CAU_00060,CAUSES,SYM_03425,2,train
CAU_00068,CAUSES,SYM_03527,2,train
CAU_00068,CAUSES,SYM_03408,2,valid
CAU_00068,CAUSES,SYM_03567,2,valid
CAU_00068,CAUSES,SYM_03939,2,train
CAU_00068,CAUSES,SYM_03437,2,valid
CAU_00099,CAUSES,SYM_03506,2,train
CAU_00099,CAUSES,SYM_03408,3,train
CAU_00099,CAUSES,SYM_03462,2,train
CAU_00099,CAUSES,SYM_03409,3,train
CAU_00073,CAUSES,SYM_03929,2,train
CAU_00171,CAUSES,SYM_03929,2,train
CAU_00068,CAUSES,SYM_03929,2,test
CAU_00073,CAUSES,SYM_03438,2,train
CAU_00015,CAUSES,SYM_03426,3,train
CAU_00015,CAUSES,SYM_03421,2,train
CAU_00015,CAUSES,SYM_03467,3,train
CAU_00015,CAUSES,SYM_03930,2,train
CAU_00015,CAUSES,SYM_03550,2,test
CAU_00015,CAUSES,SYM_03502,2,train
CAU_00020,CAUSES,SYM_03863,3,train
CAU_00020,CAUSES,SYM_03486,2,valid
CAU_00020,CAUSES,SYM_03419,3,train
CAU_00059,CAUSES,SYM_03420,5,train
CAU_00059,CAUSES,SYM_03957,2,train
CAU_00059,CAUSES,SYM_03524,4,train
CAU_00140,CAUSES,SYM_03420,2,train
CAU_00140,CAUSES,SYM_03957,2,train
CAU_00140,CAUSES,SYM_03408,2,train
CAU_00025,CAUSES,SYM_03407,2,train
CAU_00025,CAUSES,SYM_03424,2,train
CAU_00118,CAUSES,SYM_03425,2,valid
CAU_00304,CAUSES,SYM_03425,2,train
CAU_00018,CAUSES,SYM_03542,2,train
CAU_00055,CAUSES,SYM_03530,2,train
CAU_00055,CAUSES,SYM_03420,2,train
CAU_00016,CAUSES,SYM_03434,2,train
CAU_00016,CAUSES,SYM_03411,3,train
CAU_00016,CAUSES,SYM_03793,3,train
CAU_00015,CAUSES,SYM_03431,2,train
CAU_00015,CAUSES,SYM_03446,5,train
CAU_00015,CAUSES,SYM_03566,2,valid
CAU_00015,CAUSES,SYM_03418,2,train
CAU_00015,CAUSES,SYM_04765,2,train
CAU_00015,CAUSES,SYM_04214,2,train
CAU_00015,CAUSES,SYM_04412,2,train
CAU_00015,CAUSES,SYM_03905,2,train
CAU_00015,CAUSES,SYM_04147,2,train
CAU_00009,CAUSES,SYM_04765,2,test
CAU_00009,CAUSES,SYM_04214,2,test
CAU_00009,CAUSES,SYM_04412,2,train
CAU_00009,CAUSES,SYM_03905,2,train
CAU_00009,CAUSES,SYM_04147,2,train
CAU_00015,CAUSES,SYM_03417,7,train
CAU_00015,CAUSES,SYM_03423,8,train
CAU_00066,CAUSES,SYM_03423,2,train
CAU_00009,CAUSES,SYM_03417,2,train
CAU_00118,CAUSES,SYM_03438,2,train
CAU_00118,CAUSES,SYM_03472,2,test
CAU_00140,CAUSES,SYM_03472,2,train
CAU_00057,CAUSES,SYM_03466,4,train
CAU_00057,CAUSES,SYM_03431,5,train
CAU_00009,CAUSES,SYM_03466,3,train
CAU_00066,CAUSES,SYM_03448,2,test
CAU_00066,CAUSES,SYM_03431,2,train
CAU_00028,CAUSES,SYM_03544,2,train
CAU_00009,CAUSES,SYM_03432,2,train
CAU_00009,CAUSES,SYM_03813,2,train
CAU_00013,CAUSES,SYM_03463,2,train
CAU_00013,CAUSES,SYM_04377,2,train
CAU_00013,CAUSES,SYM_03534,2,train
CAU_00013,CAUSES,SYM_03482,2,train
CAU_00138,CAUSES,SYM_03565,2,train
CAU_00036,CAUSES,SYM_03614,2,train
CAU_00036,CAUSES,SYM_03408,4,train
CAU_00036,CAUSES,SYM_03409,2,test
CAU_00036,CAUSES,SYM_03416,6,train
CAU_00016,CAUSES,SYM_03415,3,valid
CAU_00016,CAUSES,SYM_03632,2,valid
CAU_00016,CAUSES,SYM_03421,3,train
CAU_00016,CAUSES,SYM_03456,4,train
CAU_00027,CAUSES,SYM_03415,2,train
CAU_00027,CAUSES,SYM_03412,3,train
CAU_00027,CAUSES,SYM_03409,5,train
CAU_00027,CAUSES,SYM_03862,2,valid
CAU_00027,CAUSES,SYM_03717,3,train
CAU_00013,CAUSES,SYM_03862,3,train
CAU_00013,CAUSES,SYM_03717,3,train
CAU_00013,CAUSES,SYM_03689,2,train
CAU_00013,CAUSES,SYM_03407,6,valid
CAU_00057,CAUSES,SYM_03417,5,train
CAU_00057,CAUSES,SYM_03428,3,train
CAU_00018,CAUSES,SYM_03428,2,train
CAU_00027,CAUSES,SYM_03456,3,test
CAU_00027,CAUSES,SYM_03407,5,train
CAU_00016,CAUSES,SYM_03407,4,train
CAU_00036,CAUSES,SYM_03442,2,train
CAU_00015,CAUSES,SYM_03430,2,train
CAU_00015,CAUSES,SYM_03425,3,train
CAU_00015,CAUSES,SYM_03428,2,train
CAU_00015,CAUSES,SYM_03496,3,train
CAU_00013,CAUSES,SYM_03423,2,train
CAU_00028,CAUSES,SYM_03415,2,valid
CAU_00028,CAUSES,SYM_03433,4,train
CAU_00028,CAUSES,SYM_03423,3,train
CAU_00010,CAUSES,SYM_03415,26,train
CAU_00010,CAUSES,SYM_03433,3,valid
CAU_00010,CAUSES,SYM_03423,23,train
CAU_00010,CAUSES,SYM_03455,4,train
CAU_00124,CAUSES,SYM_03412,3,valid
CAU_00013,CAUSES,SYM_03429,3,train
CAU_00015,CAUSES,SYM_03429,3,train
CAU_00015,CAUSES,SYM_03448,8,test
CAU_00103,CAUSES,SYM_03451,2,valid
CAU_00324,CAUSES,SYM_03420,2,train
CAU_00324,CAUSES,SYM_03421,2,train
CAU_00324,CAUSES,SYM_03456,2,train
CAU_00020,CAUSES,SYM_03569,2,train
CAU_00016,CAUSES,SYM_04244,2,train
CAU_00016,CAUSES,SYM_03428,3,train
CAU_00071,CAUSES,SYM_03415,2,train
CAU_00071,CAUSES,SYM_03431,4,train
CAU_00071,CAUSES,SYM_03421,2,train
CAU_00071,CAUSES,SYM_03428,4,train
CAU_00071,CAUSES,SYM_03460,2,valid
CAU_00071,CAUSES,SYM_03456,2,train
CAU_00009,CAUSES,SYM_04244,2,valid
CAU_00009,CAUSES,SYM_03421,4,train
CAU_00009,CAUSES,SYM_03428,3,train
CAU_00009,CAUSES,SYM_03456,3,train
CAU_00009,CAUSES,SYM_03778,2,train
CAU_00009,CAUSES,SYM_03449,2,train
CAU_00136,CAUSES,SYM_03448,2,train
CAU_00092,CAUSES,SYM_03429,2,train
CAU_00092,CAUSES,SYM_03448,2,train
CAU_00092,CAUSES,SYM_04089,2,train
CAU_00092,CAUSES,SYM_03428,2,valid
CAU_00092,CAUSES,SYM_03461,2,valid
CAU_00213,CAUSES,SYM_03428,3,test
CAU_00100,CAUSES,SYM_03433,4,train
CAU_00100,CAUSES,SYM_03432,4,train
CAU_00027,CAUSES,SYM_03421,2,train
CAU_00027,CAUSES,SYM_03561,4,train
CAU_00062,CAUSES,SYM_03450,3,train
CAU_00062,CAUSES,SYM_03419,3,train
CAU_00059,CAUSES,SYM_03438,3,test
CAU_00059,CAUSES,SYM_03934,2,train
CAU_00059,CAUSES,SYM_03472,3,train
CAU_00118,CAUSES,SYM_03430,2,train
CAU_00118,CAUSES,SYM_03437,2,train
CAU_00068,CAUSES,SYM_03433,2,train
CAU_00235,CAUSES,SYM_03410,2,train
CAU_00235,CAUSES,SYM_03416,2,train
CAU_00235,CAUSES,SYM_03407,2,train
CAU_00092,CAUSES,SYM_03417,2,train
CAU_00010,CAUSES,SYM_03420,2,train
CAU_00010,CAUSES,SYM_03429,2,train
CAU_00010,CAUSES,SYM_03653,2,test
CAU_00010,CAUSES,SYM_03428,22,train
CAU_00010,CAUSES,SYM_03461,12,test
CAU_00027,CAUSES,SYM_04376,2,train
CAU_00143,CAUSES,SYM_03407,2,train
CAU_00124,CAUSES,SYM_03574,3,train
CAU_00059,CAUSES,SYM_03421,2,test
CAU_00060,CAUSES,SYM_03421,2,train
CAU_00060,CAUSES,SYM_03438,2,test
CAU_00060,CAUSES,SYM_03934,2,train
CAU_00027,CAUSES,SYM_03636,2,train
CAU_00027,CAUSES,SYM_03601,2,train
CAU_00027,CAUSES,SYM_04561,2,train
CAU_00027,CAUSES,SYM_03954,2,train
CAU_00027,CAUSES,SYM_03478,2,train
CAU_00027,CAUSES,SYM_04179,2,train
CAU_00027,CAUSES,SYM_04227,2,train
CAU_00293,CAUSES,SYM_03636,2,test
CAU_00293,CAUSES,SYM_03601,2,valid
CAU_00293,CAUSES,SYM_04561,2,train
CAU_00293,CAUSES,SYM_03954,2,test
CAU_00293,CAUSES,SYM_03478,2,valid
CAU_00293,CAUSES,SYM_03409,2,train
CAU_00293,CAUSES,SYM_03561,2,train
CAU_00293,CAUSES,SYM_04179,2,train
CAU_00293,CAUSES,SYM_04227,2,train
CAU_00293,CAUSES,SYM_03407,2,train
CAU_00016,CAUSES,SYM_03807,2,train
CAU_00016,CAUSES,SYM_03414,2,valid
CAU_00016,CAUSES,SYM_04279,2,train
CAU_00016,CAUSES,SYM_03409,3,test
CAU_00016,CAUSES,SYM_03424,3,train
CAU_00148,CAUSES,SYM_03772,2,train
CAU_00148,CAUSES,SYM_03579,2,train
CAU_00148,CAUSES,SYM_03410,2,train
CAU_00148,CAUSES,SYM_03434,2,valid
CAU_00148,CAUSES,SYM_03574,2,test
CAU_00148,CAUSES,SYM_04964,2,train
CAU_00148,CAUSES,SYM_03412,2,train
CAU_00148,CAUSES,SYM_03418,2,train
CAU_00124,CAUSES,SYM_03772,2,train
CAU_00124,CAUSES,SYM_03579,2,train
CAU_00124,CAUSES,SYM_03410,2,train
CAU_00124,CAUSES,SYM_03434,2,train
CAU_00124,CAUSES,SYM_04964,2,train
CAU_00124,CAUSES,SYM_03418,2,train
CAU_00300,CAUSES,SYM_03772,2,valid
CAU_00300,CAUSES,SYM_03579,2,valid
CAU_00300,CAUSES,SYM_03410,2,train
CAU_00300,CAUSES,SYM_03434,2,valid
CAU_00300,CAUSES,SYM_03574,2,train
CAU_00300,CAUSES,SYM_04964,2,train
CAU_00300,CAUSES,SYM_03412,2,test
CAU_00300,CAUSES,SYM_03418,2,train
CAU_00294,CAUSES,SYM_03772,2,test
CAU_00294,CAUSES,SYM_03579,2,valid
CAU_00294,CAUSES,SYM_03410,2,train
CAU_00294,CAUSES,SYM_03434,2,train
CAU_00294,CAUSES,SYM_03574,2,valid
CAU_00294,CAUSES,SYM_04964,2,valid
CAU_00294,CAUSES,SYM_03412,2,train
CAU_00294,CAUSES,SYM_03418,2,test
CAU_00261,CAUSES,SYM_03772,2,train
CAU_00261,CAUSES,SYM_03579,2,train
CAU_00261,CAUSES,SYM_03410,2,test
CAU_00261,CAUSES,SYM_03434,2,train
CAU_00261,CAUSES,SYM_03574,2,train
CAU_00261,CAUSES,SYM_04964,2,train
CAU_00261,CAUSES,SYM_03412,2,train
CAU_00261,CAUSES,SYM_03418,2,train
CAU_00276,CAUSES,SYM_03809,2,train
CAU_00276,CAUSES,SYM_03439,2,train
CAU_00276,CAUSES,SYM_03428,2,test
CAU_00276,CAUSES,SYM_03475,2,train
CAU_00275,CAUSES,SYM_03809,2,test
CAU_00275,CAUSES,SYM_03439,2,train
CAU_00275,CAUSES,SYM_03428,2,test
CAU_00275,CAUSES,SYM_03475,2,valid
CAU_00213,CAUSES,SYM_03809,2,train
CAU_00213,CAUSES,SYM_03439,2,train
CAU_00213,CAUSES,SYM_03475,2,valid
CAU_00013,CAUSES,SYM_03673,2,train
CAU_00013,CAUSES,SYM_03476,7,train
CAU_00013,CAUSES,SYM_03927,2,train
CAU_00013,CAUSES,SYM_03436,2,test
CAU_00232,CAUSES,SYM_03430,2,train
CAU_00232,CAUSES,SYM_03425,2,valid
CAU_00036,CAUSES,SYM_03436,3,train
CAU_00205,CAUSES,SYM_03408,2,train
CAU_00205,CAUSES,SYM_03473,2,train
CAU_00198,CAUSES,SYM_04141,2,train
CAU_00100,CAUSES,SYM_03413,3,train
CAU_00100,CAUSES,SYM_04141,2,train
CAU_00015,CAUSES,SYM_03466,2,train
CAU_00138,CAUSES,SYM_03417,2,train
CAU_00138,CAUSES,SYM_03448,2,train
CAU_00013,CAUSES,SYM_04915,2,train
CAU_00015,CAUSES,SYM_03414,5,train
CAU_00020,CAUSES,SYM_03619,2,train
CAU_00196,CAUSES,SYM_03642,2,train
CAU_00069,CAUSES,SYM_03442,4,train
CAU_00069,CAUSES,SYM_03441,3,train
CAU_00015,CAUSES,SYM_05053,2,train
CAU_00388,CAUSES,SYM_03413,2,valid
CAU_00388,CAUSES,SYM_03425,2,train
CAU_00388,CAUSES,SYM_03538,2,train
CAU_00301,CAUSES,SYM_05053,2,train
CAU_00301,CAUSES,SYM_03423,2,train
CAU_00301,CAUSES,SYM_03448,2,valid
CAU_00267,CAUSES,SYM_03539,2,train
CAU_00267,CAUSES,SYM_03413,2,train
CAU_00267,CAUSES,SYM_03425,2,train
CAU_00267,CAUSES,SYM_03487,2,train
CAU_00267,CAUSES,SYM_03437,2,train
CAU_00267,CAUSES,SYM_03427,2,valid
CAU_00015,CAUSES,SYM_03487,2,test
CAU_00009,CAUSES,SYM_03414,2,train
CAU_00009,CAUSES,SYM_03423,2,train
CAU_00015,CAUSES,SYM_03454,3,train
CAU_00411,CAUSES,SYM_05230,2,train
CAU_00026,CAUSES,SYM_03453,3,train
CAU_00009,CAUSES,SYM_03728,2,test
CAU_00086,CAUSES,SYM_04018,2,train
CAU_00127,CAUSES,SYM_03539,2,train
CAU_00127,CAUSES,SYM_04916,2,train
PRE_02500,CONTAINS,HER_01897,15,train
PRE_02500,CONTAINS,HER_01877,14,train
PRE_02500,CONTAINS,HER_01866,12,train
PRE_02500,CONTAINS,HER_01882,6,train
PRE_02500,CONTAINS,HER_01859,11,train
PRE_02500,CONTAINS,HER_01874,10,train
PRE_02500,CONTAINS,HER_01871,15,train
PRE_02500,CONTAINS,HER_01856,17,train
PRE_02500,CONTAINS,HER_01883,5,valid
HER_01897,HAS_EFFECT,EFF_01257,24,train
HER_01877,HAS_EFFECT,EFF_01257,25,train
HER_01866,HAS_EFFECT,EFF_01257,27,train
HER_01882,HAS_EFFECT,EFF_01257,5,valid
HER_01859,HAS_EFFECT,EFF_01257,17,train
HER_01874,HAS_EFFECT,EFF_01257,12,train
HER_01871,HAS_EFFECT,EFF_01257,24,train
HER_01856,HAS_EFFECT,EFF_01257,30,train
HER_01883,HAS_EFFECT,EFF_01257,4,train
HER_01897,RELIEVES,SYM_03458,3,train
HER_01877,RELIEVES,SYM_03458,2,train
HER_01866,RELIEVES,SYM_03458,5,test
HER_01859,RELIEVES,SYM_03458,3,valid
HER_01874,RELIEVES,SYM_03458,3,train
HER_01871,RELIEVES,SYM_03458,4,train
HER_01856,RELIEVES,SYM_03458,3,train
PRE_02558,CONTAINS,HER_02141,2,train
PRE_02479,CONTAINS,HER_02052,2,train
PRE_02479,CONTAINS,HER_01859,13,train
PRE_02479,CONTAINS,HER_01922,10,train
PRE_02479,CONTAINS,HER_02305,2,train
PRE_02943,CONTAINS,HER_01863,2,test
PRE_02943,CONTAINS,HER_01866,2,train
HER_01854,HAS_EFFECT,EFF_01333,2,train
HER_01867,HAS_EFFECT,EFF_01313,2,train
HER_01913,HAS_EFFECT,EFF_01313,2,valid
PRE_02505,CONTAINS,HER_01977,3,train
PRE_02615,CONTAINS,HER_01913,2,train
PRE_02615,CONTAINS,HER_01977,2,train
PRE_02615,CONTAINS,HER_01867,3,train
PRE_02615,CONTAINS,HER_02199,3,train
PRE_02615,CONTAINS,HER_01870,2,train
PRE_02482,CONTAINS,HER_01940,4,train
PRE_02482,CONTAINS,HER_01882,9,test
PRE_02482,CONTAINS,HER_02107,2,train
PRE_02504,CONTAINS,HER_01870,3,train
PRE_03029,CONTAINS,HER_01863,2,train
PRE_03029,CONTAINS,HER_02180,2,train
HER_01863,HAS_EFFECT,EFF_01268,3,train
PRE_02611,CONTAINS,HER_02101,2,train
PRE_02611,CONTAINS,HER_01882,2,valid
PRE_02611,CONTAINS,HER_01854,2,test
PRE_02611,CONTAINS,HER_01881,2,train
PRE_02611,CONTAINS,HER_01858,2,train
HER_01891,HAS_EFFECT,EFF_01289,2,train
HER_01891,HAS_EFFECT,EFF_01258,3,train
HER_02016,HAS_EFFECT,EFF_01258,2,train
HER_01877,HAS_EFFECT,EFF_01289,2,train
HER_01877,HAS_EFFECT,EFF_01258,2,train
HER_01937,HAS_EFFECT,EFF_01258,5,train
HER_01865,HAS_EFFECT,EFF_01289,2,train
HER_01865,HAS_EFFECT,EFF_01258,13,train
HER_01882,HAS_EFFECT,EFF_01258,3,train
HER_01854,HAS_EFFECT,EFF_01289,2,train
HER_01854,HAS_EFFECT,EFF_01258,13,train
HER_01881,HAS_EFFECT,EFF_01258,7,train
HER_01861,HAS_EFFECT,EFF_01258,9,test
HER_01933,HAS_EFFECT,EFF_01258,9,train
HER_01904,HAS_EFFECT,EFF_01289,2,train
HER_01904,HAS_EFFECT,EFF_01258,12,test
HER_01858,HAS_EFFECT,EFF_01289,2,train
HER_01858,HAS_EFFECT,EFF_01258,12,train
HER_02034,HAS_EFFECT,EFF_01258,2,train
HER_01878,HAS_EFFECT,EFF_01258,7,train
HER_02244,HAS_EFFECT,EFF_01402,2,train
HER_02268,HAS_EFFECT,EFF_01402,2,train
HER_02105,HAS_EFFECT,EFF_01402,2,train
HER_02248,HAS_EFFECT,EFF_01402,2,train
HER_01858,HAS_EFFECT,EFF_01286,3,train
HER_01858,HAS_EFFECT,EFF_01284,2,train
HER_01951,HAS_EFFECT,EFF_01286,2,train
HER_01886,HAS_EFFECT,EFF_01286,2,train
HER_01886,HAS_EFFECT,EFF_01295,2,train
HER_01886,HAS_EFFECT,EFF_01284,3,train
HER_02031,HAS_EFFECT,EFF_01295,3,train
HER_01877,HAS_EFFECT,EFF_01284,4,train
HER_01854,HAS_EFFECT,EFF_01286,4,train
HER_01854,HAS_EFFECT,EFF_01284,4,train
HER_01860,HAS_EFFECT,EFF_01295,2,valid
HER_01860,HAS_EFFECT,EFF_01284,3,train
HER_01859,HAS_EFFECT,EFF_01286,4,train
HER_01859,HAS_EFFECT,EFF_01284,2,train
HER_01856,HAS_EFFECT,EFF_01295,3,train
HER_01856,HAS_EFFECT,EFF_01284,3,train
HER_01869,HAS_EFFECT,EFF_01286,2,train
HER_01869,HAS_EFFECT,EFF_01295,2,train
HER_01869,HAS_EFFECT,EFF_01284,2,train
HER_01913,HAS_EFFECT,EFF_01286,3,train
HER_01913,HAS_EFFECT,EFF_01295,2,train
HER_02042,HAS_EFFECT,EFF_01284,2,test
HER_01867,HAS_EFFECT,EFF_01286,5,train
HER_01867,HAS_EFFECT,EFF_01295,2,train
HER_01911,HAS_EFFECT,EFF_01286,5,train
HER_01911,HAS_EFFECT,EFF_01295,2,train
HER_01911,HAS_EFFECT,EFF_01284,2,train
HER_02031,RELIEVES,SYM_04402,2,test
HER_01948,RELIEVES,SYM_03438,5,train
HER_01854,RELIEVES,SYM_04402,2,train
HER_01859,RELIEVES,SYM_03438,3,valid
HER_01856,RELIEVES,SYM_03438,2,train
HER_01869,RELIEVES,SYM_04402,2,test
HER_01867,RELIEVES,SYM_03438,2,train
HER_01911,RELIEVES,SYM_04402,2,valid
CAU_00010,CAUSES,SYM_03475,9,train
PRE_02495,CONTAINS,HER_02041,2,test
PRE_02495,CONTAINS,HER_01857,7,train
PRE_02495,CONTAINS,HER_01854,4,valid
PRE_02495,CONTAINS,HER_01855,7,train
PRE_02495,CONTAINS,HER_01903,2,train
PRE_02495,CONTAINS,HER_01859,4,valid
PRE_02495,CONTAINS,HER_01856,3,train
PRE_02495,CONTAINS,HER_02047,2,test
PRE_02495,CONTAINS,HER_01867,2,test
PRE_02567,CONTAINS,HER_01857,2,valid
PRE_02567,CONTAINS,HER_01863,2,train
PRE_02567,CONTAINS,HER_01854,2,train
